    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20150601, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20150601
20150602, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20150602
20150603, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20150603
20150604, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20150604
20150605, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20150605
20150606, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20150606
20150607, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20150607
20150608, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20150608
20150609, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20150609
20150610, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20150610
20150611, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20150611
20150612, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20150612
20150613, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20150613
20150614, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20150614
20150615, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20150615
20150616, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20150616
20150617, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20150617
20150618, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20150618
20150619, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20150619
20150620, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20150620
20150621, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20150621
20150622, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20150622
20150623, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20150623
20150624, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20150624
20150625, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20150625
20150626, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20150626
20150627, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20150627
20150628, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20150628
20150629, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20150629
20150630, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20150630
