    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160601, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20160601
20160602, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20160602
20160603, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20160603
20160604, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20160604
20160605, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20160605
20160606, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20160606
20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607
20160608, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20160608
20160609, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20160609
20160610, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20160610
20160611, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20160611
20160612, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20160612
20160613, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20160613
20160614, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20160614
20160615, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20160615
20160616, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20160616
20160617, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20160617
20160618, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20160618
20160619, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20160619
20160620, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20160620
20160621, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20160621
20160622, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20160622
20160623, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20160623
20160624, 20160607, 20160607, 20160607, 20160607, 20160610, 20160610, 20160624
20160625, 20160607, 20160607, 20160611, 20160611, 20160611, 20160611, 20160625
20160626, 20160607, 20160607, 20160612, 20160612, 20160612, 20160612, 20160626
20160627, 20160607, 20160607, 20160606, 20160606, 20160606, 20160606, 20160627
20160628, 20160607, 20160607, 20160607, 20160607, 20160607, 20160607, 20160628
20160629, 20160607, 20160607, 20160607, 20160607, 20160608, 20160608, 20160629
20160630, 20160607, 20160607, 20160607, 20160607, 20160609, 20160609, 20160630
