    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160901, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20160901
20160902, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20160902
20160903, 20160913, 20160913, 20160917, 20160917, 20160917, 20160917, 20160903
20160904, 20160913, 20160913, 20160918, 20160918, 20160918, 20160918, 20160904
20160905, 20160913, 20160905, 20160912, 20160905, 20160912, 20160905, 20160905
20160906, 20160913, 20160906, 20160913, 20160906, 20160913, 20160906, 20160906
20160907, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20160907
20160908, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20160908
20160909, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20160909
20160910, 20160913, 20160913, 20160917, 20160917, 20160917, 20160917, 20160910
20160911, 20160913, 20160913, 20160918, 20160918, 20160918, 20160918, 20160911
20160912, 20160913, 20160913, 20160912, 20160912, 20160912, 20160912, 20160912
20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913
20160914, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20160914
20160915, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20160915
20160916, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20160916
20160917, 20160913, 20160913, 20160917, 20160917, 20160917, 20160917, 20160917
20160918, 20160913, 20160913, 20160918, 20160918, 20160918, 20160918, 20160918
20160919, 20160913, 20160913, 20160912, 20160912, 20160912, 20160912, 20160919
20160920, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20160920
20160921, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20160921
20160922, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20160922
20160923, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20160923
20160924, 20160913, 20160913, 20160917, 20160917, 20160917, 20160917, 20160924
20160925, 20160913, 20160913, 20160918, 20160918, 20160918, 20160918, 20160925
20160926, 20160913, 20160913, 20160912, 20160912, 20160912, 20160912, 20160926
20160927, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20160927
20160928, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20160928
20160929, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20160929
20160930, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20160930
