    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20150801, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20150801
20150802, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20150802
20150803, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20150803
20150804, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20150804
20150805, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20150805
20150806, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20150806
20150807, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20150807
20150808, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20150808
20150809, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20150809
20150810, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20150810
20150811, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20150811
20150812, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20150812
20150813, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20150813
20150814, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20150814
20150815, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20150815
20150816, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20150816
20150817, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20150817
20150818, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20150818
20150819, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20150819
20150820, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20150820
20150821, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20150821
20150822, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20150822
20150823, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20150823
20150824, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20150824
20150825, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20150825
20150826, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20150826
20150827, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20150827
20150828, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20150828
20150829, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20150829
20150830, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20150830
20150831, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20150831
