    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160201, 20160202, 20160202, 20160208, 20160208, 20160208, 20160208, 20160201
20160202, 20160202, 20160202, 20160209, 20160209, 20160209, 20160209, 20160202
20160203, 20160202, 20160202, 20160209, 20160209, 20160210, 20160210, 20160203
20160204, 20160202, 20160202, 20160209, 20160209, 20160211, 20160211, 20160204
20160205, 20160202, 20160202, 20160209, 20160209, 20160212, 20160212, 20160205
20160206, 20160202, 20160202, 20160213, 20160213, 20160213, 20160213, 20160206
20160207, 20160202, 20160202, 20160214, 20160214, 20160214, 20160214, 20160207
20160208, 20160202, 20160202, 20160208, 20160208, 20160208, 20160208, 20160208
20160209, 20160202, 20160202, 20160209, 20160209, 20160209, 20160209, 20160209
20160210, 20160202, 20160202, 20160209, 20160209, 20160210, 20160210, 20160210
20160211, 20160202, 20160202, 20160209, 20160209, 20160211, 20160211, 20160211
20160212, 20160202, 20160202, 20160209, 20160209, 20160212, 20160212, 20160212
20160213, 20160202, 20160202, 20160213, 20160213, 20160213, 20160213, 20160213
20160214, 20160202, 20160202, 20160214, 20160214, 20160214, 20160214, 20160214
20160215, 20160202, 20160202, 20160208, 20160208, 20160208, 20160208, 20160215
20160216, 20160202, 20160202, 20160209, 20160209, 20160209, 20160209, 20160216
20160217, 20160202, 20160202, 20160209, 20160209, 20160210, 20160210, 20160217
20160218, 20160202, 20160202, 20160209, 20160209, 20160211, 20160211, 20160218
20160219, 20160202, 20160202, 20160209, 20160209, 20160212, 20160212, 20160219
20160220, 20160202, 20160202, 20160213, 20160213, 20160213, 20160213, 20160220
20160221, 20160202, 20160202, 20160214, 20160214, 20160214, 20160214, 20160221
20160222, 20160202, 20160202, 20160208, 20160208, 20160208, 20160208, 20160222
20160223, 20160202, 20160202, 20160209, 20160209, 20160209, 20160209, 20160223
20160224, 20160202, 20160202, 20160209, 20160209, 20160210, 20160210, 20160224
20160225, 20160202, 20160202, 20160209, 20160209, 20160211, 20160211, 20160225
20160226, 20160202, 20160202, 20160209, 20160209, 20160212, 20160212, 20160226
20160227, 20160202, 20160202, 20160213, 20160213, 20160213, 20160213, 20160227
20160228, 20160202, 20160202, 20160214, 20160214, 20160214, 20160214, 20160228
20160229, 20160202, 20160202, 20160208, 20160208, 20160208, 20160208, 20160229
