    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20161101, 20161108, 20161108, 20161108, 20161108, 20161108, 20161108, 20161101
20161102, 20161108, 20161108, 20161108, 20161108, 20161109, 20161109, 20161102
20161103, 20161108, 20161108, 20161108, 20161108, 20161110, 20161110, 20161103
20161104, 20161108, 20161108, 20161108, 20161108, 20161111, 20161111, 20161104
20161105, 20161108, 20161108, 20161112, 20161112, 20161112, 20161112, 20161105
20161106, 20161108, 20161108, 20161113, 20161113, 20161113, 20161113, 20161106
20161107, 20161108, 20161108, 20161107, 20161107, 20161107, 20161107, 20161107
20161108, 20161108, 20161108, 20161108, 20161108, 20161108, 20161108, 20161108
20161109, 20161108, 20161108, 20161108, 20161108, 20161109, 20161109, 20161109
20161110, 20161108, 20161108, 20161108, 20161108, 20161110, 20161110, 20161110
20161111, 20161108, 20161108, 20161108, 20161108, 20161111, 20161111, 20161111
20161112, 20161108, 20161108, 20161112, 20161112, 20161112, 20161112, 20161112
20161113, 20161108, 20161108, 20161113, 20161113, 20161113, 20161113, 20161113
20161114, 20161108, 20161108, 20161107, 20161107, 20161107, 20161107, 20161114
20161115, 20161108, 20161108, 20161108, 20161108, 20161108, 20161108, 20161115
20161116, 20161108, 20161108, 20161108, 20161108, 20161109, 20161109, 20161116
20161117, 20161108, 20161108, 20161108, 20161108, 20161110, 20161110, 20161117
20161118, 20161108, 20161108, 20161108, 20161108, 20161111, 20161111, 20161118
20161119, 20161108, 20161108, 20161112, 20161112, 20161112, 20161112, 20161119
20161120, 20161108, 20161108, 20161113, 20161113, 20161113, 20161113, 20161120
20161121, 20161108, 20161108, 20161107, 20161107, 20161107, 20161107, 20161121
20161122, 20161108, 20161108, 20161108, 20161108, 20161108, 20161108, 20161122
20161123, 20161108, 20161108, 20161108, 20161108, 20161109, 20161109, 20161123
20161124, 20161108, 20161124, 20161108, 20161124, 20161110, 20161124, 20161124
20161125, 20161108, 20161125, 20161108, 20161125, 20161111, 20161125, 20161125
20161126, 20161108, 20161126, 20161112, 20161126, 20161112, 20161126, 20161126
20161127, 20161108, 20161108, 20161113, 20161113, 20161113, 20161113, 20161127
20161128, 20161108, 20161108, 20161107, 20161107, 20161107, 20161107, 20161128
20161129, 20161108, 20161108, 20161108, 20161108, 20161108, 20161108, 20161129
20161130, 20161108, 20161108, 20161108, 20161108, 20161109, 20161109, 20161130
