    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160501, 20160503, 20160503, 20160508, 20160508, 20160508, 20160508, 20160501
20160502, 20160503, 20160503, 20160502, 20160502, 20160502, 20160502, 20160502
20160503, 20160503, 20160503, 20160503, 20160503, 20160503, 20160503, 20160503
20160504, 20160503, 20160503, 20160503, 20160503, 20160504, 20160504, 20160504
20160505, 20160503, 20160503, 20160503, 20160503, 20160505, 20160505, 20160505
20160506, 20160503, 20160503, 20160503, 20160503, 20160506, 20160506, 20160506
20160507, 20160503, 20160503, 20160507, 20160507, 20160507, 20160507, 20160507
20160508, 20160503, 20160503, 20160508, 20160508, 20160508, 20160508, 20160508
20160509, 20160503, 20160503, 20160502, 20160502, 20160502, 20160502, 20160509
20160510, 20160503, 20160503, 20160503, 20160503, 20160503, 20160503, 20160510
20160511, 20160503, 20160503, 20160503, 20160503, 20160504, 20160504, 20160511
20160512, 20160503, 20160503, 20160503, 20160503, 20160505, 20160505, 20160512
20160513, 20160503, 20160503, 20160503, 20160503, 20160506, 20160506, 20160513
20160514, 20160503, 20160503, 20160507, 20160507, 20160507, 20160507, 20160514
20160515, 20160503, 20160503, 20160508, 20160508, 20160508, 20160508, 20160515
20160516, 20160503, 20160503, 20160502, 20160502, 20160502, 20160502, 20160516
20160517, 20160503, 20160503, 20160503, 20160503, 20160503, 20160503, 20160517
20160518, 20160503, 20160503, 20160503, 20160503, 20160504, 20160504, 20160518
20160519, 20160503, 20160503, 20160503, 20160503, 20160505, 20160505, 20160519
20160520, 20160503, 20160503, 20160503, 20160503, 20160506, 20160506, 20160520
20160521, 20160503, 20160503, 20160507, 20160507, 20160507, 20160507, 20160521
20160522, 20160503, 20160503, 20160508, 20160508, 20160508, 20160508, 20160522
20160523, 20160503, 20160503, 20160502, 20160502, 20160502, 20160502, 20160523
20160524, 20160503, 20160503, 20160503, 20160503, 20160503, 20160503, 20160524
20160525, 20160503, 20160503, 20160503, 20160503, 20160504, 20160504, 20160525
20160526, 20160503, 20160503, 20160503, 20160503, 20160505, 20160505, 20160526
20160527, 20160503, 20160503, 20160503, 20160503, 20160506, 20160506, 20160527
20160528, 20160503, 20160503, 20160507, 20160507, 20160507, 20160507, 20160528
20160529, 20160503, 20160503, 20160508, 20160508, 20160508, 20160508, 20160529
20160530, 20160503, 20160530, 20160502, 20160530, 20160502, 20160530, 20160530
20160531, 20160503, 20160531, 20160503, 20160531, 20160503, 20160531, 20160531
