    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20150901, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20150901
20150902, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20150902
20150903, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20150903
20150904, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20150904
20150905, 20160913, 20160905, 20160917, 20160905, 20160917, 20160905, 20150905
20150906, 20160913, 20160906, 20160918, 20160906, 20160918, 20160906, 20150906
20150907, 20160913, 20160913, 20160912, 20160912, 20160912, 20160912, 20150907
20150908, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20150908
20150909, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20150909
20150910, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20150910
20150911, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20150911
20150912, 20160913, 20160913, 20160917, 20160917, 20160917, 20160917, 20150912
20150913, 20160913, 20160913, 20160918, 20160918, 20160918, 20160918, 20150913
20150914, 20160913, 20160913, 20160912, 20160912, 20160912, 20160912, 20150914
20150915, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20150915
20150916, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20150916
20150917, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20150917
20150918, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20150918
20150919, 20160913, 20160913, 20160917, 20160917, 20160917, 20160917, 20150919
20150920, 20160913, 20160913, 20160918, 20160918, 20160918, 20160918, 20150920
20150921, 20160913, 20160913, 20160912, 20160912, 20160912, 20160912, 20150921
20150922, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20150922
20150923, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20150923
20150924, 20160913, 20160913, 20160913, 20160913, 20160915, 20160915, 20150924
20150925, 20160913, 20160913, 20160913, 20160913, 20160916, 20160916, 20150925
20150926, 20160913, 20160913, 20160917, 20160917, 20160917, 20160917, 20150926
20150927, 20160913, 20160913, 20160918, 20160918, 20160918, 20160918, 20150927
20150928, 20160913, 20160913, 20160912, 20160912, 20160912, 20160912, 20150928
20150929, 20160913, 20160913, 20160913, 20160913, 20160913, 20160913, 20150929
20150930, 20160913, 20160913, 20160913, 20160913, 20160914, 20160914, 20150930
