    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20150701, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20150701
20150702, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20150702
20150703, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20150703
20150704, 20160712, 20160704, 20160716, 20160704, 20160716, 20160704, 20150704
20150705, 20160712, 20160705, 20160717, 20160705, 20160717, 20160705, 20150705
20150706, 20160712, 20160712, 20160711, 20160711, 20160711, 20160711, 20150706
20150707, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20150707
20150708, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20150708
20150709, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20150709
20150710, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20150710
20150711, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20150711
20150712, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20150712
20150713, 20160712, 20160712, 20160711, 20160711, 20160711, 20160711, 20150713
20150714, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20150714
20150715, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20150715
20150716, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20150716
20150717, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20150717
20150718, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20150718
20150719, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20150719
20150720, 20160712, 20160712, 20160711, 20160711, 20160711, 20160711, 20150720
20150721, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20150721
20150722, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20150722
20150723, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20150723
20150724, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20150724
20150725, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20150725
20150726, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20150726
20150727, 20160712, 20160712, 20160711, 20160711, 20160711, 20160711, 20150727
20150728, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20150728
20150729, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20150729
20150730, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20150730
20150731, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20150731
