    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160701, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20160701
20160702, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20160702
20160703, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20160703
20160704, 20160712, 20160704, 20160711, 20160704, 20160711, 20160704, 20160704
20160705, 20160712, 20160705, 20160712, 20160705, 20160712, 20160705, 20160705
20160706, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20160706
20160707, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20160707
20160708, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20160708
20160709, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20160709
20160710, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20160710
20160711, 20160712, 20160712, 20160711, 20160711, 20160711, 20160711, 20160711
20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712
20160713, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20160713
20160714, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20160714
20160715, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20160715
20160716, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20160716
20160717, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20160717
20160718, 20160712, 20160712, 20160711, 20160711, 20160711, 20160711, 20160718
20160719, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20160719
20160720, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20160720
20160721, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20160721
20160722, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20160722
20160723, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20160723
20160724, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20160724
20160725, 20160712, 20160712, 20160711, 20160711, 20160711, 20160711, 20160725
20160726, 20160712, 20160712, 20160712, 20160712, 20160712, 20160712, 20160726
20160727, 20160712, 20160712, 20160712, 20160712, 20160713, 20160713, 20160727
20160728, 20160712, 20160712, 20160712, 20160712, 20160714, 20160714, 20160728
20160729, 20160712, 20160712, 20160712, 20160712, 20160715, 20160715, 20160729
20160730, 20160712, 20160712, 20160716, 20160716, 20160716, 20160716, 20160730
20160731, 20160712, 20160712, 20160717, 20160717, 20160717, 20160717, 20160731
