    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160401, 20160405, 20160405, 20160405, 20160405, 20160408, 20160408, 20160401
20160402, 20160405, 20160405, 20160409, 20160409, 20160409, 20160409, 20160402
20160403, 20160405, 20160405, 20160410, 20160410, 20160410, 20160410, 20160403
20160404, 20160405, 20160405, 20160404, 20160404, 20160404, 20160404, 20160404
20160405, 20160405, 20160405, 20160405, 20160405, 20160405, 20160405, 20160405
20160406, 20160405, 20160405, 20160405, 20160405, 20160406, 20160406, 20160406
20160407, 20160405, 20160405, 20160405, 20160405, 20160407, 20160407, 20160407
20160408, 20160405, 20160405, 20160405, 20160405, 20160408, 20160408, 20160408
20160409, 20160405, 20160405, 20160409, 20160409, 20160409, 20160409, 20160409
20160410, 20160405, 20160405, 20160410, 20160410, 20160410, 20160410, 20160410
20160411, 20160405, 20160405, 20160404, 20160404, 20160404, 20160404, 20160411
20160412, 20160405, 20160405, 20160405, 20160405, 20160405, 20160405, 20160412
20160413, 20160405, 20160405, 20160405, 20160405, 20160406, 20160406, 20160413
20160414, 20160405, 20160405, 20160405, 20160405, 20160407, 20160407, 20160414
20160415, 20160405, 20160405, 20160405, 20160405, 20160408, 20160408, 20160415
20160416, 20160405, 20160405, 20160409, 20160409, 20160409, 20160409, 20160416
20160417, 20160405, 20160405, 20160410, 20160410, 20160410, 20160410, 20160417
20160418, 20160405, 20160405, 20160404, 20160404, 20160404, 20160404, 20160418
20160419, 20160405, 20160405, 20160405, 20160405, 20160405, 20160405, 20160419
20160420, 20160405, 20160405, 20160405, 20160405, 20160406, 20160406, 20160420
20160421, 20160405, 20160405, 20160405, 20160405, 20160407, 20160407, 20160421
20160422, 20160405, 20160405, 20160405, 20160405, 20160408, 20160408, 20160422
20160423, 20160405, 20160405, 20160409, 20160409, 20160409, 20160409, 20160423
20160424, 20160405, 20160405, 20160410, 20160410, 20160410, 20160410, 20160424
20160425, 20160405, 20160405, 20160404, 20160404, 20160404, 20160404, 20160425
20160426, 20160405, 20160405, 20160405, 20160405, 20160405, 20160405, 20160426
20160427, 20160405, 20160405, 20160405, 20160405, 20160406, 20160406, 20160427
20160428, 20160405, 20160405, 20160405, 20160405, 20160407, 20160407, 20160428
20160429, 20160405, 20160405, 20160405, 20160405, 20160408, 20160408, 20160429
20160430, 20160405, 20160405, 20160409, 20160409, 20160409, 20160409, 20160430
