    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160801, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20160801
20160802, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20160802
20160803, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20160803
20160804, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20160804
20160805, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20160805
20160806, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20160806
20160807, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20160807
20160808, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20160808
20160809, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20160809
20160810, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20160810
20160811, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20160811
20160812, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20160812
20160813, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20160813
20160814, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20160814
20160815, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20160815
20160816, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20160816
20160817, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20160817
20160818, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20160818
20160819, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20160819
20160820, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20160820
20160821, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20160821
20160822, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20160822
20160823, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20160823
20160824, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20160824
20160825, 20160802, 20160802, 20160809, 20160809, 20160811, 20160811, 20160825
20160826, 20160802, 20160802, 20160809, 20160809, 20160812, 20160812, 20160826
20160827, 20160802, 20160802, 20160813, 20160813, 20160813, 20160813, 20160827
20160828, 20160802, 20160802, 20160814, 20160814, 20160814, 20160814, 20160828
20160829, 20160802, 20160802, 20160808, 20160808, 20160808, 20160808, 20160829
20160830, 20160802, 20160802, 20160809, 20160809, 20160809, 20160809, 20160830
20160831, 20160802, 20160802, 20160809, 20160809, 20160810, 20160810, 20160831
