    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20150301, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20150301
20150302, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20150302
20150303, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20150303
20150304, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20150304
20150305, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20150305
20150306, 20160308, 20160308, 20160308, 20160308, 20160311, 20160311, 20150306
20150307, 20160308, 20160308, 20160312, 20160312, 20160312, 20160312, 20150307
20150308, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20150308
20150309, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20150309
20150310, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20150310
20150311, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20150311
20150312, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20150312
20150313, 20160308, 20160308, 20160308, 20160308, 20160311, 20160311, 20150313
20150314, 20160308, 20160308, 20160312, 20160312, 20160312, 20160312, 20150314
20150315, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20150315
20150316, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20150316
20150317, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20150317
20150318, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20150318
20150319, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20150319
20150320, 20160308, 20160308, 20160308, 20160308, 20160311, 20160311, 20150320
20150321, 20160308, 20160308, 20160312, 20160312, 20160312, 20160312, 20150321
20150322, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20150322
20150323, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20150323
20150324, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20150324
20150325, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20150325
20150326, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20150326
20150327, 20160308, 20160325, 20160308, 20160325, 20160311, 20160325, 20150327
20150328, 20160308, 20160326, 20160312, 20160326, 20160312, 20160326, 20150328
20150329, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20150329
20150330, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20150330
20150331, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20150331
