    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20161001, 20161004, 20161004, 20161008, 20161008, 20161008, 20161008, 20161001
20161002, 20161004, 20161004, 20161009, 20161009, 20161009, 20161009, 20161002
20161003, 20161004, 20161004, 20161003, 20161003, 20161003, 20161003, 20161003
20161004, 20161004, 20161004, 20161004, 20161004, 20161004, 20161004, 20161004
20161005, 20161004, 20161004, 20161004, 20161004, 20161005, 20161005, 20161005
20161006, 20161004, 20161004, 20161004, 20161004, 20161006, 20161006, 20161006
20161007, 20161004, 20161004, 20161004, 20161004, 20161007, 20161007, 20161007
20161008, 20161004, 20161004, 20161008, 20161008, 20161008, 20161008, 20161008
20161009, 20161004, 20161004, 20161009, 20161009, 20161009, 20161009, 20161009
20161010, 20161004, 20161004, 20161003, 20161003, 20161003, 20161003, 20161010
20161011, 20161004, 20161004, 20161004, 20161004, 20161004, 20161004, 20161011
20161012, 20161004, 20161004, 20161004, 20161004, 20161005, 20161005, 20161012
20161013, 20161004, 20161004, 20161004, 20161004, 20161006, 20161006, 20161013
20161014, 20161004, 20161004, 20161004, 20161004, 20161007, 20161007, 20161014
20161015, 20161004, 20161004, 20161008, 20161008, 20161008, 20161008, 20161015
20161016, 20161004, 20161004, 20161009, 20161009, 20161009, 20161009, 20161016
20161017, 20161004, 20161004, 20161003, 20161003, 20161003, 20161003, 20161017
20161018, 20161004, 20161004, 20161004, 20161004, 20161004, 20161004, 20161018
20161019, 20161004, 20161004, 20161004, 20161004, 20161005, 20161005, 20161019
20161020, 20161004, 20161004, 20161004, 20161004, 20161006, 20161006, 20161020
20161021, 20161004, 20161004, 20161004, 20161004, 20161007, 20161007, 20161021
20161022, 20161004, 20161004, 20161008, 20161008, 20161008, 20161008, 20161022
20161023, 20161004, 20161004, 20161009, 20161009, 20161009, 20161009, 20161023
20161024, 20161004, 20161004, 20161003, 20161003, 20161003, 20161003, 20161024
20161025, 20161004, 20161004, 20161004, 20161004, 20161004, 20161004, 20161025
20161026, 20161004, 20161004, 20161004, 20161004, 20161005, 20161005, 20161026
20161027, 20161004, 20161004, 20161004, 20161004, 20161006, 20161006, 20161027
20161028, 20161004, 20161004, 20161004, 20161004, 20161007, 20161007, 20161028
20161029, 20161004, 20161004, 20161008, 20161008, 20161008, 20161008, 20161029
20161030, 20161004, 20161004, 20161009, 20161009, 20161009, 20161009, 20161030
20161031, 20161004, 20161004, 20161003, 20161003, 20161003, 20161003, 20161031
