    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160301, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20160301
20160302, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20160302
20160303, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20160303
20160304, 20160308, 20160308, 20160308, 20160308, 20160311, 20160311, 20160304
20160305, 20160308, 20160308, 20160312, 20160312, 20160312, 20160312, 20160305
20160306, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20160306
20160307, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20160307
20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308
20160309, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20160309
20160310, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20160310
20160311, 20160308, 20160308, 20160308, 20160308, 20160311, 20160311, 20160311
20160312, 20160308, 20160308, 20160312, 20160312, 20160312, 20160312, 20160312
20160313, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20160313
20160314, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20160314
20160315, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20160315
20160316, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20160316
20160317, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20160317
20160318, 20160308, 20160308, 20160308, 20160308, 20160311, 20160311, 20160318
20160319, 20160308, 20160308, 20160312, 20160312, 20160312, 20160312, 20160319
20160320, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20160320
20160321, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20160321
20160322, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20160322
20160323, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20160323
20160324, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20160324
20160325, 20160308, 20160325, 20160308, 20160325, 20160311, 20160325, 20160325
20160326, 20160308, 20160326, 20160312, 20160326, 20160312, 20160326, 20160326
20160327, 20160308, 20160308, 20160313, 20160313, 20160313, 20160313, 20160327
20160328, 20160308, 20160308, 20160307, 20160307, 20160307, 20160307, 20160328
20160329, 20160308, 20160308, 20160308, 20160308, 20160308, 20160308, 20160329
20160330, 20160308, 20160308, 20160308, 20160308, 20160309, 20160309, 20160330
20160331, 20160308, 20160308, 20160308, 20160308, 20160310, 20160310, 20160331
