    Date, aveday_N, aveday_Y,  mwdss_N,  mwdss_Y,   week_N,   week_Y,      all
20160101, 20160105, 20160101, 20160105, 20160101, 20160108, 20160101, 20160101
20160102, 20160105, 20160102, 20160109, 20160102, 20160109, 20160102, 20160102
20160103, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20160103
20160104, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20160104
20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105
20160106, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20160106
20160107, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20160107
20160108, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20160108
20160109, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20160109
20160110, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20160110
20160111, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20160111
20160112, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20160112
20160113, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20160113
20160114, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20160114
20160115, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20160115
20160116, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20160116
20160117, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20160117
20160118, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20160118
20160119, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20160119
20160120, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20160120
20160121, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20160121
20160122, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20160122
20160123, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20160123
20160124, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20160124
20160125, 20160105, 20160105, 20160104, 20160104, 20160104, 20160104, 20160125
20160126, 20160105, 20160105, 20160105, 20160105, 20160105, 20160105, 20160126
20160127, 20160105, 20160105, 20160105, 20160105, 20160106, 20160106, 20160127
20160128, 20160105, 20160105, 20160105, 20160105, 20160107, 20160107, 20160128
20160129, 20160105, 20160105, 20160105, 20160105, 20160108, 20160108, 20160129
20160130, 20160105, 20160105, 20160109, 20160109, 20160109, 20160109, 20160130
20160131, 20160105, 20160105, 20160110, 20160110, 20160110, 20160110, 20160131
